descricao,vencimento,valor,quantidade
DISTRIBUIÇÃO DE LUCRO,2026-06-05,15000.00,3
PROLABORE,2026-06-05,4450.00,3
"TOTAL 822,24 - 33,33% - REPEDIU CONSULTORIA",2026-06-15,274.08,3
ASAAS*CARDAPIOWE - CARDAPIO WEB,2026-06-22,157.65,3
PROLABORE,2026-07-06,4450.00,3
DISTRIBUIÇÃO DE LUCRO,2026-07-06,15000.00,3
"TOTAL 822,24 - 33,33% - REPEDIU CONSULTORIA",2026-07-15,274.08,3
13º SALÁRIO,2026-07-31,9725.00,3
DISTRIBUIÇÃO DE LUCRO,2026-08-06,15000.00,3
PROLABORE,2026-08-06,4450.00,3
ASSAS*CARDAPIOWE - CARDÁPIO WEB,2026-08-22,157.65,3
PROLABORE,2026-09-08,4450.00,3
DISTRIBUIÇÃO DE LUCRO,2026-09-08,15000.00,3
"TOTAL 822,24 - 33,33% - REPEDIU CONSULTORIA",2026-09-15,274.08,3
ASSAS*CARDAPIOWE - CARDÁPIO WEB,2026-09-22,157.65,3
PROLABORE,2026-10-06,4450.00,3
DISTRIBUIÇÃO DE LUCRO,2026-10-06,15000.00,3
ASSAS*CARDAPIOWE - CARDÁPIO WEB,2026-10-22,157.65,3
PROLABORE,2026-11-06,4450.00,3
DISTRIBUIÇÃO DE LUCRO,2026-11-06,15000.00,3
ASSAS*CARDAPIOWE - CARDÁPIO WEB,2026-11-22,157.65,3
DISTRIBUIÇÃO DE LUCRO,2026-12-04,15000.00,3
PROLABORE,2026-12-04,4450.00,3
13º SALÁRIO,2026-12-18,9725.00,3
ASSAS*CARDAPIOWE - CARDÁPIO WEB,2026-12-22,157.65,3
GÁS,2026-05-30,1527.00,2
POLIA ALTERNADOR CITROEN,2026-06-16,275.00,2
ASSAS*CARDAPIOWE - CARDÁPIO WEB,2026-07-22,157.65,2
5/21,2026-08-12,1267.13,2
"TOTAL 822,24 - 33,33% - REPEDIU CONSULTORIA",2026-08-15,274.08,2
